Angle (graus)	Voltage (V)	 Uncertaity (V*5/1023)	 Uncertainty (graus)
0	0.98	0	0
4	1.02	0.01	0.04
8	1.05	0.01	0.08
12	1.08	0.01	0.12
16	1.09	0.01	0.16
20	1.1	0.01	0.2
24	1.13	0.01	0.24
28	1.13	0	0.28
32	1.13	0.01	0.32
36	1.13	0.01	0.36
40	1.11	0.01	0.4
44	1.08	0.01	0.44
48	1.05	0.01	0.48
52	1.02	0.01	0.52
56	0.99	0	0.56
60	0.95	0	0.6
64	0.91	0.01	0.64
68	0.87	0.01	0.68
72	0.82	0.01	0.72
76	0.77	0.01	0.76
80	0.72	0.01	0.8
84	0.67	0.01	0.84
88	0.63	0.01	0.88
92	0.59	0.01	0.92
96	0.54	0	0.96
100	0.51	0.01	1
104	0.48	0.01	1.04
108	0.45	0.01	1.08
112	0.43	0.01	1.12
116	0.42	0.01	1.16
120	0.41	0.01	1.2
124	0.4	0.01	1.24
128	0.41	0.01	1.28
132	0.43	0.02	1.32
136	0.43	0	1.36
140	0.46	0.01	1.4
144	0.48	0.01	1.44
148	0.51	0.01	1.48
152	0.55	0.01	1.52
156	0.58	0.01	1.56
160	0.63	0.01	1.6
164	0.67	0.01	1.64
168	0.72	0.01	1.68
172	0.78	0	1.72
176	0.83	0.01	1.76
180	0.87	0.01	1.8
