0	1.26	0.01	0
4	1.32	0.01	0.04
8	1.38	0.01	0.08
12	1.42	0.01	0.12
16	1.46	0.01	0.16
20	1.5	0.01	0.2
24	1.53	0.01	0.24
28	1.56	0.01	0.28
32	1.57	0.01	0.32
36	1.58	0.01	0.36
40	1.59	0.01	0.4
44	1.56	0.01	0.44
48	1.52	0.01	0.48
52	1.5	0.01	0.52
56	1.45	0.01	0.56
60	1.4	0.01	0.6
64	1.36	0.01	0.64
68	1.28	0.01	0.68
72	1.19	0.01	0.72
76	1.15	0.01	0.76
80	1.08	0.01	0.8
84	1.03	0.01	0.84
88	0.95	0.01	0.88
92	0.88	0.01	0.92
96	0.82	0.01	0.96
100	0.76	0.01	1
104	0.7	0.01	1.04
108	0.66	0.01	1.08
112	0.61	0.01	1.12
116	0.59	0.01	1.16
120	0.56	0.01	1.2
124	0.55	0.01	1.24
128	0.54	0.01	1.28
132	0.55	0.01	1.32
136	0.55	0.01	1.36
140	0.58	0.01	1.4
144	0.6	0.01	1.44
148	0.64	0.01	1.48
152	0.67	0.01	1.52
156	0.72	0.01	1.56
160	0.76	0.01	1.6
164	0.83	0.01	1.64
168	0.91	0.01	1.68
172	0.98	0.01	1.72
176	1.05	0.01	1.76
180	1.12	0.01	1.8
