Angle (graus)	Voltage (V)	 Uncertaity (V*5/1023)	 Uncertainty (graus)
0	0.66	0.01	0
4	0.71	0.01	0.04
8	0.76	0.01	0.08
12	0.8	0.01	0.12
16	0.85	0.01	0.16
20	0.86	0.01	0.2
24	0.9	0.01	0.24
28	0.92	0.01	0.28
32	0.95	0.01	0.32
36	0.95	0	0.36
40	0.97	0	0.4
44	0.98	0.01	0.44
48	0.98	0	0.48
52	0.96	0.01	0.52
56	0.93	0.01	0.56
60	0.91	0	0.6
64	0.88	0.01	0.64
68	0.89	0.01	0.68
72	0.86	0.01	0.72
76	0.81	0.01	0.76
80	0.77	0.01	0.8
84	0.71	0.01	0.84
88	0.68	0.01	0.88
92	0.64	0.01	0.92
96	0.59	0.01	0.96
100	0.55	0.01	1
104	0.52	0.01	1.04
108	0.47	0	1.08
112	0.44	0	1.12
116	0.43	0	1.16
120	0.4	0.01	1.2
124	0.38	0.01	1.24
128	0.36	0.01	1.28
132	0.35	0.01	1.32
136	0.34	0.01	1.36
140	0.34	0.01	1.4
144	0.35	0.01	1.44
148	0.36	0.01	1.48
152	0.38	0	1.52
156	0.4	0.01	1.56
160	0.43	0.01	1.6
164	0.44	0.01	1.64
168	0.48	0.01	1.68
172	0.52	0.01	1.72
176	0.57	0.01	1.76
180	0.61	0.01	1.8
