V(canais);V(calib);i(canais);E(i);n(i)
170;32,7636;41,0000;4,6558;27;
171;32,9564;39,6957;5,3194;23;
172;33,1491;38,6071;6,1207;28;
173;33,3418;37,2800;7,3032;25;
174;33,5345;36,4643;6,5982;28;
175;33,7273;35,9444;5,8745;18;
176;33,9200;35,7826;8,6152;23;
177;34,1127;35,8846;10,3531;26;
178;34,3055;36,3636;14,5041;22;
179;34,4982;37,4333;13,3446;30;
180;34,6909;39,3333;14,5562;21;
181;34,8836;41,8077;15,6347;26;
182;35,0764;44,7241;15,3225;29;
183;35,2691;48,0000;13,1705;20;
184;35,4618;50,6000;9,5672;25;
185;35,6545;54,5600;6,7139;25;
186;35,8473;57,4000;3,9045;25;
187;36,0400;59,5263;7,1345;19;
188;36,2327;61,4516;7,6490;31;
189;36,4255;62,2414;11,0019;29;
190;36,6182;62,9583;11,1820;24;
191;36,8109;62,3636;10,5638;22;
192;37,0036;61,7407;12,3244;27;
193;37,1964;60,4348;12,8680;23;
194;37,3891;59,0333;13,1821;30;
195;37,5818;57,4074;8,2722;27;
196;37,7745;55,2800;8,3955;25;
197;37,9673;53,6207;6,0911;29;
198;38,1600;51,9524;4,4697;21;
199;38,3527;50,9167;3,8669;24;
200;38,5455;49,5455;4,3649;22;
201;38,7382;49,0357;6,3472;28;
202;38,9309;49,0370;9,8093;27;
203;39,1236;49,3333;11,0212;27;
204;39,3164;50,7200;13,2897;25;
205;39,5091;52,6364;18,2390;22;
206;39,7018;55,9000;14,4325;30;
207;39,8945;59,6667;18,7948;15;
208;40,0873;62,0769;17,5418;26;
209;40,2800;67,0741;15,4406;27;
210;40,4727;72,0000;10,6207;27;
211;40,6655;75,1200;5,8161;25;
212;40,8582;79,1875;4,3057;32;
213;41,0509;81,2500;5,2734;24;
214;41,2436;82,5000;7,3197;28;
215;41,4364;82,9524;8,8037;21;
216;41,6291;82,4167;10,7971;24;
217;41,8218;81,3571;13,1060;28;
218;42,0145;80,0000;13,8417;26;
219;42,2073;77,6667;15,5001;21;
220;42,4000;75,4643;14,1591;28;
221;42,5927;72,8889;12,2085;27;
222;42,7855;70,3929;11,2008;28;
223;42,9782;67,9444;7,2351;18;
224;43,1709;66,7619;6,5658;21;
225;43,3636;64,8824;4,3540;34;
226;43,5564;63,4828;3,7943;29;
227;43,7491;63,1000;8,2890;30;
228;43,9418;63,4000;10,3783;25;
229;44,1345;64,9474;13,4345;19;
230;44,3273;66,7143;13,8197;28;
231;44,5200;69,7619;15,2886;21;
232;44,7127;72,9333;15,1617;15;
233;44,9055;78,2286;17,1427;35;
234;45,0982;83,6800;17,4928;25;
235;45,2909;88,5625;17,5715;16;
236;45,4836;93,8333;10,5509;30;
237;45,6764;97,4545;4,8283;33;
238;45,8691;100,6957;4,7628;23;
239;46,0618;103,0455;4,4503;22;
240;46,2545;103,7826;6,5965;23;
241;46,4473;103,8750;7,9297;24;
242;46,6400;102,6000;8,4296;30;
243;46,8327;100,7857;11,4122;28;
244;47,0255;98,7333;12,3492;30;
245;47,2182;95,0000;13,0105;27;
246;47,4109;92,3077;15,3390;26;
247;47,6036;89,4286;11,7409;21;
248;47,7964;86,2593;12,3177;27;
249;47,9891;83,3939;11,1325;33;
250;48,1818;81,2500;8,0023;24;
251;48,3745;79,0345;3,9547;29;
252;48,5673;78,1250;5,5113;24;
253;48,7600;78,0000;6,6091;31;
254;48,9527;79,6333;8,9760;30;
