V(canais);V(calib);i(canais);E(i);n(i)
16;3,0836;1,0000;0,3295;24;
17;3,2764;1,0000;0,5562;23;
18;3,4691;1,0000;1,2127;22;
19;3,6618;1,0000;0,5564;27;
20;3,8545;1,0000;0,6628;33;
21;4,0473;1,0000;0,6196;20;
22;4,2400;1,0000;0,6453;21;
23;4,4327;1,0000;0,5966;21;
24;4,6255;1,0000;0,5371;30;
25;4,8182;1,0000;0,4967;25;
26;5,0109;1,0000;1,0072;33;
27;5,2036;1,0000;0,4957;26;
28;5,3964;1,0000;0,7718;20;
29;5,5891;1,0000;0,6686;28;
30;5,7818;1,0000;0,6024;29;
31;5,9745;1,0000;0,5031;21;
32;6,1673;1,0000;0,4423;20;
33;6,3600;1,0000;0,3885;32;
34;6,5527;1,0000;0,5212;26;
35;6,7455;1,0000;0,5131;28;
36;6,9382;1,0000;0,5043;24;
37;7,1309;1,0000;0,4639;26;
38;7,3236;1,0000;0,4659;25;
39;7,5164;1,0000;0,8657;20;
40;7,7091;1,0000;0,5704;28;
41;7,9018;1,0000;0,5532;27;
42;8,0945;1,0000;0,5246;29;
43;8,2873;1,0000;0,7461;23;
44;8,4800;1,0000;0,7382;28;
45;8,6727;1,0455;0,9426;22;
46;8,8655;1,0000;0,7365;24;
47;9,0582;1,0000;0,7496;23;
48;9,2509;1,7500;1,0171;20;
49;9,4436;1,9259;0,9336;27;
50;9,6364;2,0000;0,8943;29;
51;9,8291;2,2400;1,1821;25;
52;10,0218;2,8667;0,9634;30;
53;10,2145;3,6250;1,1457;24;
54;10,4073;4,1818;1,3841;22;
55;10,6000;4,7222;1,0177;18;
56;10,7927;4,9310;0,8815;29;
57;10,9855;5,0455;0,7883;22;
58;11,1782;5,0345;0,7720;29;
59;11,3709;5,0800;0,6477;25;
60;11,5636;5,0000;0,7659;24;
61;11,7564;4,9583;1,0004;24;
62;11,9491;4,2727;1,0478;22;
63;12,1418;4,0000;0,8833;16;
64;12,3345;4,0294;0,7798;34;
65;12,5273;3,5556;1,0366;18;
66;12,7200;3,0833;0,8027;24;
67;12,9127;3,0000;0,5003;29;
68;13,1055;3,0000;0,6279;27;
69;13,2982;3,0000;0,9125;34;
70;13,4909;3,0000;0,7587;14;
71;13,6836;3,0370;0,9837;27;
72;13,8764;3,4762;1,3512;21;
73;14,0691;3,9231;1,2537;26;
74;14,2618;5,0000;1,2972;31;
75;14,4545;6,0714;1,8144;28;
76;14,6473;7,2381;2,5594;21;
77;14,8400;8,9091;2,7422;22;
78;15,0327;10,5000;2,8203;24;
79;15,2255;12,1111;2,6500;18;
80;15,4182;17,7692;2,8654;26;
81;15,6109;15,7083;2,7255;24;
82;15,8036;16,8500;2,4728;20;
83;15,9964;16,9688;1,0781;32;
84;16,1891;16,9524;1,8615;21;
85;16,3818;16,1379;1,6810;29;
86;16,5745;14,8462;2,1248;26;
87;16,7673;13,5000;1,9511;22;
88;16,9600;12,4615;2,0959;26;
89;17,1527;10,8824;2,1203;17;
90;17,3455;10,1071;1,6426;28;
91;17,5382;8,7241;1,3274;29;
92;17,7309;7,7917;1,3027;24;
93;17,9236;7,1379;1,2864;29;
94;18,1164;7,0435;1,0735;23;
95;18,3091;6,9444;1,9093;18;
96;18,5018;7,0000;1,2846;23;
97;18,6945;7,6000;1,5175;25;
98;18,8873;8,8000;2,0848;25;
99;19,0800;9,8800;2,8809;25;
100;19,2727;12,2308;3,1763;26;
101;19,4655;14,7200;3,6540;25;
102;19,6582;16,4737;5,1496;19;
103;19,8509;20,6429;4,3556;28;
104;20,0436;24,7273;5,1608;22;
105;20,2364;28,6452;5,3660;31;
