V(canais);V(calib);i(canais);E(i);n(i)
12;2,3127;0,9677;0,9835;31;
13;2,5055;0,8696;1,0325;23;
14;2,6982;1,0000;1,4346;20;
15;2,8909;0,7778;0,6802;18;
16;3,0836;1,0000;0,6517;20;
17;3,2764;0,8056;0,6172;36;
18;3,4691;0,8889;1,3963;18;
19;3,6618;0,8750;0,6765;24;
20;3,8545;0,9500;0,8316;20;
21;4,0473;0,9000;0,5882;30;
22;4,2400;0,9583;0,6666;24;
23;4,4327;1,0000;0,6824;18;
24;4,6255;1,0000;0,5968;27;
25;4,8182;0,8800;0,5935;25;
26;5,0109;1,0000;1,1638;23;
27;5,2036;0,9630;0,5544;27;
28;5,3964;0,9667;0,6790;30;
29;5,5891;1,0000;0,6686;28;
30;5,7818;0,9583;0,7199;24;
31;5,9745;1,0000;0,6394;13;
32;6,1673;1,0000;0,3738;28;
33;6,3600;1,0000;0,3769;34;
34;6,5527;1,0000;0,5800;21;
35;6,7455;4,2000;0,6861;25;
36;6,9382;1,0000;0,5391;21;
37;7,1309;1,0000;0,4731;25;
38;7,3236;1,0000;0,4569;26;
39;7,5164;1,0000;0,3004;26;
40;7,7091;1,0000;0,6435;22;
41;7,9018;1,0000;0,5004;33;
42;8,0945;1,0000;0,5767;24;
43;8,2873;1,0000;0,7017;26;
44;8,4800;1,0000;0,9207;18;
45;8,6727;1,0000;0,8210;29;
46;8,8655;1,0000;0,6700;29;
47;9,0582;1,0000;0,8987;16;
48;9,2509;1,0000;0,8596;28;
49;9,4436;1,0000;0,9707;26;
50;9,6364;1,0769;0,9813;26;
51;9,8291;1,8077;1,3168;26;
52;10,0218;1,9583;1,1446;24;
53;10,2145;2,0385;1,1175;26;
54;10,4073;2,1667;1,4040;24;
55;10,6000;2,7391;1,1039;23;
56;10,7927;2,9524;1,0789;21;
57;10,9855;3,0323;0,6872;31;
58;11,1782;3,0556;1,0328;18;
59;11,3709;3,1111;0,7996;27;
60;11,5636;3,1765;1,0399;17;
61;11,7564;3,1304;1,1284;23;
62;11,9491;3,0000;0,9288;28;
63;12,1418;3,0000;0,7900;20;
64;12,3345;3,0000;0,9481;23;
65;12,5273;2,9697;0,8196;33;
66;12,7200;2,5500;1,1281;20;
67;12,9127;2,0909;0,7032;22;
68;13,1055;2,0357;0,6696;28;
69;13,2982;2,0000;0,8916;24;
70;13,4909;2,0000;0,5920;23;
71;13,6836;2,0000;1,1726;19;
72;13,8764;2,0370;1,2065;27;
73;14,0691;2,1379;1,3073;29;
74;14,2618;2,9444;1,7912;18;
75;14,4545;3,0455;2,0778;22;
76;14,6473;3,5909;2,6188;22;
77;14,8400;4,1600;2,6631;25;
