V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;0.0000;0.0000;0;
1;0.1600;10.2581;64.8290;31;
2;0.3200;9.4900;41.7511;200;
3;0.4800;137.7900;464.1481;200;
4;0.6400;30.1950;81.3318;200;
5;0.8000;12.4533;60.7634;150;
6;0.9600;6.0769;44.6580;91;
7;1.1200;7.6087;45.4266;69;
8;1.2800;7.3205;44.0052;78;
9;1.4400;7.9425;47.5670;87;
10;1.6000;8.6957;61.6549;69;
11;1.7600;8.5263;50.3886;76;
12;1.9200;6.4677;39.6108;62;
13;2.0800;2.8276;21.1694;29;
14;2.2400;1.0400;10.2357;25;
15;2.4000;1.2632;4.3232;19;
16;2.5600;1.2800;1.0015;25;
17;2.7200;1.5000;2.1318;22;
18;2.8800;1.7200;24.9307;25;
19;3.0400;1.8947;1.5211;19;
20;3.2000;1.9565;1.0917;23;
21;3.3600;1.9688;0.7085;32;
22;3.5200;2.0000;0.7337;24;
23;3.6800;2.0000;0.5148;23;
24;3.8400;2.0000;0.3187;26;
25;4.0000;2.0000;0.4353;29;
26;4.1600;2.0000;0.3984;28;
27;4.3200;2.0000;0.3588;28;
28;4.4800;2.0000;0.7877;23;
29;4.6400;2.0000;0.5680;32;
30;4.8000;2.0909;0.6571;33;
31;4.9600;2.8462;0.6944;13;
32;5.1200;2.9565;0.8587;23;
33;5.2800;3.0000;0.8529;23;
34;5.4400;3.0000;0.5863;34;
35;5.6000;3.0000;6.0024;26;
36;5.7600;3.7407;0.6992;27;
37;5.9200;3.9032;13.8632;31;
38;6.0800;3.9615;0.4642;26;
39;6.2400;4.0000;0.4456;28;
40;6.4000;4.0000;0.6279;21;
41;6.5600;4.0625;0.6443;32;
42;6.7200;4.4000;0.8928;30;
43;6.8800;4.8636;0.9921;22;
44;7.0400;5.0000;0.7125;26;
45;7.2000;4.9583;0.9158;24;
46;7.3600;4.9744;1.0749;39;
47;7.5200;5.0952;1.0973;21;
48;7.6800;5.1786;1.9847;28;
49;7.8400;5.8400;2.0946;25;
50;8.0000;6.0000;3.0406;24;
51;8.1600;6.0000;1.9672;29;
52;8.3200;6.8571;5.1447;21;
53;8.4800;7.1212;3.6239;33;
54;8.6400;7.9231;4.0814;26;
55;8.8000;8.1250;4.1312;24;
56;8.9600;8.5652;2.7376;23;
57;9.1200;8.9655;1.8917;29;
58;9.2800;9.0000;3.5881;30;
59;9.4400;9.0000;2.6083;29;
60;9.6000;9.0000;4.3372;22;
61;9.7600;9.0000;1.1162;28;
62;9.9200;9.0000;1.0696;30;
63;10.0800;9.0000;0.7984;17;
64;10.2400;9.0000;1.0560;24;
65;10.4000;9.0000;0.7719;28;
66;10.5600;9.0000;1.2953;29;
67;10.7200;9.0000;1.4029;30;
