V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;28.2850;425.4466;200;
1;0.2126;20.5165;102.0716;91;
2;0.4251;41.3750;118.1828;200;
3;0.6377;294.7600;747.3772;200;
4;0.8503;149.7800;359.7323;200;
5;1.0628;37.9950;122.6051;200;
6;1.2754;26.8759;80.3798;145;
7;1.4879;22.0920;74.4311;87;
8;1.7005;20.0978;72.5621;92;
9;1.9131;17.4259;69.5693;108;
10;2.1256;24.3854;66.2771;96;
11;2.3382;19.8889;57.6982;99;
12;2.5508;24.6410;68.4197;78;
13;2.7633;18.1905;50.4176;63;
14;2.9759;12.8095;32.1626;42;
15;3.1884;10.1429;21.0225;28;
16;3.4010;10.0333;3.4355;30;
17;3.6136;10.2683;19.3186;41;
18;3.8261;10.1429;3.3839;21;
19;4.0387;10.3913;4.1172;23;
20;4.2513;10.1429;4.0941;14;
21;4.4638;10.3750;5.6238;8;
22;4.6764;11.0000;95.2028;3;
23;4.8889;11.0000;34.1976;11;
24;5.1015;10.8966;2.5779;29;
25;5.3141;13.6977;26.2319;43;
26;5.5266;11.0417;2.5349;24;
27;5.7392;11.1429;4.0201;14;
28;5.9518;11.0000;3.9080;20;
29;6.1643;11.1429;2.8248;35;
30;6.3769;11.2500;8.5596;8;
31;6.5894;11.3750;9.3840;8;
32;6.8020;12.0000;5.4875;25;
33;7.0146;12.2222;3.9399;27;
34;7.2271;12.7333;8.3447;30;
35;7.4397;12.7826;3.8673;23;
36;7.6523;13.4800;4.1237;25;
37;7.8648;13.8000;22.0813;25;
38;8.0774;14.1000;4.3575;20;
39;8.2899;14.4091;3.5100;22;
40;8.5025;14.8636;4.2078;22;
41;8.7151;14.9032;3.4639;31;
42;8.9276;15.3636;3.3096;22;
43;9.1402;15.8400;3.9719;25;
44;9.3528;15.8095;4.6057;21;
45;9.5653;16.2188;4.2503;32;
46;9.7779;16.6429;7.8024;14;
47;9.9905;17.0000;5.6397;21;
48;10.2030;17.4737;7.0327;19;
49;10.4156;17.7500;5.5925;24;
50;10.6281;18.8621;3.8514;29;
51;10.8407;20.3636;11.9956;22;
52;11.0533;20.8261;6.6832;23;
53;11.2658;21.6957;12.2055;23;
54;11.4784;23.9167;6.2200;24;
55;11.6910;24.8182;7.1481;22;
56;11.9035;26.1600;5.9894;25;
57;12.1161;27.4545;9.7028;22;
58;12.3286;28.3500;13.5574;20;
59;12.5412;28.5769;10.4048;26;
60;12.7538;28.8182;14.1811;22;
61;12.9663;29.0000;23.8257;23;
62;13.1789;28.9677;10.1804;31;
63;13.3915;29.0000;14.9653;14;
64;13.6040;29.0000;13.8254;28;
65;13.8166;29.0000;13.7939;29;
66;14.0291;29.0000;10.4707;23;
67;14.2417;29.0000;5.3656;22;
68;14.4543;29.0417;6.5247;24;
69;14.6668;29.4286;5.7721;21;
70;14.8794;30.0400;7.6810;25;
71;15.0920;30.6500;9.4142;20;
72;15.3045;31.5417;11.0064;24;
73;15.5171;33.1852;12.2998;27;
74;15.7296;34.3462;8.0779;26;
75;15.9422;36.5217;7.7568;23;
76;16.1548;38.6500;9.4934;20;
77;16.3673;40.1071;5.5699;28;
78;16.5799;42.5500;6.3000;20;
79;16.7925;42.9200;3.9134;25;
80;17.0050;44.5556;7.2336;18;
81;17.2176;45.4412;4.8276;34;
82;17.4302;45.2778;6.4607;18;
83;17.6427;45.3043;8.9785;23;
84;17.8553;44.9200;11.6393;25;
85;18.0678;44.4444;10.1509;27;
86;18.2804;44.0800;10.2913;25;
87;18.4930;43.6000;8.4961;15;
88;18.7055;43.0417;5.9681;24;
89;18.9181;42.8824;2.9278;34;
90;19.1307;42.8421;4.4933;19;
91;19.3432;42.8889;4.4184;18;
92;19.5558;43.0476;3.7860;21;
93;19.7683;43.8077;4.1813;26;
94;19.9809;44.7037;3.3648;27;
95;20.1935;46.1818;3.8095;22;
96;20.4060;47.7000;5.9875;20;
97;20.6186;50.3200;6.1903;25;
98;20.8312;51.6316;10.6973;19;
99;21.0437;55.0455;10.1033;22;
100;21.2563;57.1250;12.5695;24;
101;21.4688;60.0833;13.2455;24;
102;21.6814;60.9444;13.5379;18;
103;21.8940;62.0000;7.9518;23;
104;22.1065;62.4800;7.0581;25;
105;22.3191;62.7500;7.2173;28;
106;22.5317;62.2727;7.0525;22;
107;22.7442;61.5652;6.6872;23;
108;22.9568;60.7500;4.4606;24;
109;23.1693;59.5000;3.8867;30;
110;23.3819;58.5789;4.4886;19;
111;23.5945;58.0000;3.8200;23;
112;23.8070;57.1852;2.9287;27;
113;24.0196;57.0000;1.6166;26;
114;24.2322;57.0800;7.5299;25;
115;24.4447;57.4783;6.4438;23;
116;24.6573;58.1667;5.8612;24;
117;24.8699;59.6538;8.1947;26;
118;25.0824;61.3462;8.6726;26;
119;25.2950;63.9048;9.0658;21;
120;25.5075;66.5556;9.5399;27;
121;25.7201;69.4583;9.1218;24;
122;25.9327;72.7600;7.4867;25;
123;26.1452;76.6000;6.4595;20;
124;26.3578;79.1818;3.7617;33;
125;26.5704;81.6786;4.5436;28;
126;26.7829;82.6522;2.5731;23;
127;26.9955;82.4828;2.8124;29;
128;27.2080;82.5625;4.1632;16;
129;27.4206;81.9643;3.9403;28;
130;27.6332;80.8462;4.1223;26;
131;27.8457;79.1500;4.1257;20;
132;28.0583;78.2308;3.7760;26;
133;28.2709;76.7000;4.1257;20;
134;28.4834;75.5667;4.8760;30;
135;28.6960;74.9333;6.0964;30;
136;28.9085;74.3333;9.9018;18;
137;29.1211;74.1071;8.7735;28;
138;29.3337;74.4783;9.4259;23;
139;29.5462;75.4286;6.7051;28;
140;29.7588;77.2381;6.0277;21;
141;29.9714;79.4062;6.0992;32;
142;30.1839;82.7391;6.9310;23;
143;30.3965;85.4444;8.7343;18;
144;30.6090;89.3889;11.2220;18;
145;30.8216;92.9167;9.2783;24;
146;31.0342;94.8261;9.5802;23;
147;31.2467;100.0714;6.8384;28;
148;31.4593;101.4286;5.0944;28;
149;31.6719;104.1667;2.5263;24;
150;31.8844;104.8000;4.7069;30;
151;32.0970;104.4762;2.5130;21;
152;32.3095;103.7727;2.8478;22;
153;32.5221;102.4286;2.8767;28;
