V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;10.4000;2690.7988;5;
1;0.2126;6.6571;164.6770;35;
2;0.4251;8.6050;118.6648;200;
3;0.6377;100.6000;753.7245;200;
4;0.8503;41.9200;361.8237;200;
5;1.0628;11.0800;123.2827;200;
6;1.2754;6.7953;86.4109;127;
7;1.4879;7.4267;80.8090;75;
8;1.7005;5.6761;82.8529;71;
9;1.9131;6.6154;71.3882;104;
10;2.1256;7.8421;75.4980;76;
11;2.3382;7.4247;68.1947;73;
12;2.5508;5.6190;76.7121;63;
13;2.7633;7.4773;61.4472;44;
14;2.9759;6.2333;39.2860;30;
15;3.1884;3.0000;21.0225;28;
16;3.4010;2.9565;3.9289;23;
17;3.6136;2.9643;23.3778;28;
18;3.8261;3.0000;3.3061;22;
19;4.0387;3.0000;4.0305;24;
20;4.2513;3.0000;3.7153;17;
21;4.4638;2.9667;2.9097;30;
22;4.6764;3.0000;30.1058;30;
23;4.8889;3.0000;23.1519;24;
24;5.1015;3.0000;2.8338;24;
25;5.3141;3.0000;33.1041;27;
26;5.5266;3.0000;2.3060;29;
27;5.7392;3.0000;2.8948;27;
28;5.9518;3.0000;3.4276;26;
29;6.1643;3.0000;3.4847;23;
30;6.3769;3.2500;4.5957;28;
31;6.5894;3.6250;6.6531;16;
32;6.8020;3.9615;5.3844;26;
33;7.0146;4.0000;3.9399;27;
34;7.2271;4.0000;9.9738;21;
35;7.4397;3.9615;3.6424;26;
36;7.6523;4.1304;4.3124;23;
37;7.8648;4.6562;19.5231;32;
38;8.0774;4.9130;4.0731;23;
39;8.2899;5.0000;3.6813;20;
40;8.5025;5.0000;4.2078;22;
41;8.7151;5.0000;3.5211;30;
42;8.9276;4.9615;3.0504;26;
43;9.1402;5.0000;4.5561;19;
44;9.3528;4.9615;4.1437;26;
45;9.5653;5.0000;4.1234;34;
46;9.7779;5.0000;5.7254;26;
47;9.9905;5.2857;6.9219;14;
48;10.2030;5.7857;5.8077;28;
49;10.4156;5.8333;5.0159;30;
50;10.6281;6.0417;4.2383;24;
51;10.8407;6.0000;10.4480;29;
52;11.0533;6.4091;6.8510;22;
53;11.2658;6.9706;10.0401;34;
54;11.4784;7.2917;6.2366;24;
55;11.6910;7.9048;7.3222;21;
56;11.9035;8.0000;6.1129;24;
57;12.1161;8.3333;8.3223;30;
58;12.3286;8.7619;13.2375;21;
59;12.5412;8.8571;10.0360;28;
60;12.7538;8.9643;12.5716;28;
61;12.9663;9.0000;22.8528;25;
62;13.1789;9.0000;11.1162;26;
63;13.3915;9.0000;15.5302;13;
64;13.6040;9.0000;13.5850;29;
65;13.8166;9.0000;14.2957;27;
66;14.0291;9.0000;10.4707;23;
67;14.2417;9.0000;5.1372;24;
68;14.4543;9.0000;5.8358;30;
69;14.6668;9.0000;5.0905;27;
70;14.8794;9.0000;7.0118;30;
71;15.0920;9.0000;8.4203;25;
72;15.3045;9.3043;11.2525;23;
73;15.5171;9.7000;14.2984;20;
74;15.7296;10.1429;9.0003;21;
75;15.9422;10.5833;7.6150;24;
76;16.1548;11.0800;8.5049;25;
77;16.3673;11.7500;6.0387;24;
78;16.5799;11.9444;6.7030;18;
79;16.7925;12.6522;4.1394;23;
80;17.0050;12.8621;5.7154;29;
81;17.2176;13.0000;4.9002;33;
82;17.4302;13.0000;5.0900;29;
83;17.6427;12.9643;8.1395;28;
84;17.8553;13.0000;12.1348;23;
85;18.0678;13.0000;11.2454;22;
86;18.2804;13.0000;10.5035;24;
87;18.4930;12.8571;7.1890;21;
88;18.7055;12.3333;5.9867;24;
89;18.9181;12.1429;3.7418;21;
90;19.1307;12.0968;3.5301;31;
91;19.3432;12.0455;4.0021;22;
92;19.5558;12.4583;3.5763;24;
93;19.7683;12.9091;3.7225;33;
94;19.9809;13.0000;4.0111;19;
95;20.1935;13.7059;4.3844;17;
96;20.4060;13.7812;4.7582;32;
97;20.6186;14.5200;6.2425;25;
98;20.8312;15.5833;9.5351;24;
99;21.0437;16.3077;9.3258;26;
100;21.2563;17.0833;12.5891;24;
101;21.4688;17.5862;12.0740;29;
102;21.6814;18.1212;10.0067;33;
103;21.8940;18.6316;8.7802;19;
104;22.1065;18.8889;6.7989;27;
105;22.3191;18.6087;7.9836;23;
106;22.5317;18.1379;6.1523;29;
107;22.7442;18.0000;6.8375;22;
108;22.9568;17.8182;4.6749;22;
109;23.1693;17.2800;4.2813;25;
110;23.3819;17.0303;3.4102;33;
111;23.5945;17.0000;5.0811;13;
112;23.8070;17.0000;2.6901;32;
113;24.0196;17.0000;1.5578;28;
114;24.2322;17.0000;7.3837;26;
115;24.4447;17.0000;6.5886;22;
116;24.6573;17.1071;5.4352;28;
117;24.8699;17.5926;8.0565;27;
118;25.0824;18.1250;9.0374;24;
119;25.2950;19.1739;8.6960;23;
120;25.5075;19.7083;10.1452;24;
121;25.7201;20.9600;8.9530;25;
122;25.9327;21.9333;6.8730;30;
123;26.1452;22.7500;6.0035;24;
124;26.3578;23.5714;4.2587;28;
125;26.5704;24.3667;4.4310;30;
126;26.7829;24.9310;2.3055;29;
127;26.9955;24.9259;2.9264;27;
128;27.2080;24.8148;3.2283;27;
129;27.4206;24.2083;4.2754;24;
130;27.6332;23.9355;3.7917;31;
