V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;29.0000;2646.7393;1;
1;0.1600;8.5870;51.8780;46;
2;0.3200;14.2650;39.0592;200;
3;0.4800;151.2400;443.5467;200;
4;0.6400;26.1400;75.8690;200;
5;0.8000;8.8196;50.4968;194;
6;0.9600;8.1667;39.1821;108;
7;1.1200;7.6104;41.1757;77;
8;1.2800;7.6596;37.4226;94;
9;1.4400;5.0619;40.2489;113;
10;1.6000;5.8876;52.2224;89;
11;1.7600;9.0541;47.9533;74;
12;1.9200;5.5781;36.3218;64;
13;2.0800;3.0370;19.6149;27;
14;2.2400;3.5667;9.3421;30;
15;2.4000;1.9524;4.0908;21;
16;2.5600;1.9655;0.8312;29;
17;2.7200;2.0000;1.7746;30;
18;2.8800;2.0000;21.6958;33;
19;3.0400;2.0000;1.1856;30;
20;3.2000;2.0000;1.0499;24;
21;3.3600;2.0000;0.7477;27;
22;3.5200;2.0000;0.7843;21;
23;3.6800;2.0000;0.4585;29;
24;3.8400;2.0000;0.3017;29;
25;4.0000;2.0000;0.4353;29;
26;4.1600;2.0000;0.3915;29;
27;4.3200;2.0000;0.3654;27;
28;4.4800;2.0000;0.6479;34;
29;4.6400;2.0385;0.6301;26;
30;4.8000;2.7692;0.6657;26;
31;4.9600;2.9474;0.4907;19;
32;5.1200;2.9600;0.8001;25;
33;5.2800;3.0345;0.7595;29;
34;5.4400;3.3846;0.6705;26;
35;5.6000;3.9167;6.2475;24;
36;5.7600;3.9706;0.4855;34;
37;5.9200;6.5172;14.3300;29;
38;6.0800;3.9355;0.3869;31;
39;6.2400;4.2500;0.5272;20;
40;6.4000;4.8077;0.5643;26;
41;6.5600;4.8857;0.5710;35;
42;6.7200;4.9615;0.8017;26;
43;6.8800;5.0000;0.7601;33;
44;7.0400;5.0000;0.7416;24;
45;7.2000;5.0000;0.8586;26;
46;7.3600;5.1071;1.2548;28;
47;7.5200;5.5909;1.0330;22;
48;7.6800;5.9167;2.1034;24;
49;7.8400;5.9167;1.7185;36;
50;8.0000;6.8400;2.9792;25;
51;8.1600;7.1724;1.9319;29;
52;8.3200;7.8000;4.2944;30;
53;8.4800;8.5000;3.9000;28;
54;8.6400;8.9167;4.2389;24;
55;8.8000;9.9524;4.3915;21;
56;8.9600;10.0000;2.8903;19;
57;9.1200;10.8571;1.9162;28;
58;9.2800;10.8667;3.5881;30;
59;9.4400;10.9643;2.6545;28;
60;9.6000;11.0000;4.2419;23;
61;9.7600;11.0000;1.0129;34;
62;9.9200;11.0000;1.3809;18;
63;10.0800;11.0000;0.6584;25;
64;10.2400;11.0000;0.9956;27;
65;10.4000;11.0000;0.7336;31;
66;10.5600;11.0000;1.5597;20;
67;10.7200;11.0000;1.3801;31;
68;10.8800;11.0000;1.9097;25;
69;11.0400;11.6585;1.5261;41;
70;11.2000;11.8889;1.6634;27;
71;11.3600;12.1053;2.2633;19;
72;11.5200;12.7097;3.3033;31;
73;11.6800;13.3750;3.2140;24;
74;11.8400;14.1714;15.1871;35;
75;12.0000;15.3478;3.9117;23;
76;12.1600;16.3462;3.4805;26;
77;12.3200;17.1667;4.2493;30;
78;12.4800;17.8788;3.8157;33;
79;12.6400;18.6190;2.9905;21;
80;12.8000;18.8571;3.5928;28;
81;12.9600;19.0000;5.2865;27;
82;13.1200;18.8710;2.8696;31;
83;13.2800;19.0000;3.6074;33;
84;13.4400;19.0000;2.5529;31;
85;13.6000;19.0000;2.3749;25;
86;13.7600;18.4667;0.8259;30;
87;13.9200;18.0435;2.4279;23;
88;14.0800;18.0000;0.7117;29;
89;14.2400;18.0625;0.4184;32;
90;14.4000;18.0000;0.4937;31;
91;14.5600;18.0952;0.6173;21;
92;14.7200;18.7419;1.0069;31;
93;14.8800;19.0000;1.1865;25;
94;15.0400;19.8000;1.4000;30;
95;15.2000;20.3684;2.2983;19;
96;15.3600;21.2414;2.4916;29;
97;15.5200;22.3793;3.2121;29;
98;15.6800;23.8800;3.3647;25;
99;15.8400;25.0000;3.8025;24;
100;16.0000;26.2667;3.2716;30;
101;16.1600;27.4516;3.2493;31;
102;16.3200;27.9200;2.6118;25;
103;16.4800;27.8571;2.3763;28;
104;16.6400;28.4000;1.8819;25;
105;16.8000;28.1429;0.9488;28;
106;16.9600;28.0000;0.7224;25;
107;17.1200;27.8182;0.9120;33;
108;17.2800;27.0833;1.0712;24;
109;17.4400;27.0357;1.0073;28;
110;17.6000;26.2083;1.2640;24;
111;17.7600;26.1250;1.0992;24;
112;17.9200;26.0385;0.6122;26;
113;18.0800;26.0000;0.7572;30;
114;18.2400;26.0645;0.4287;31;
115;18.4000;26.1613;0.7630;31;
