V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;2.0000;4254.5923;2;
1;0.2126;8.1026;120.3064;78;
2;0.4251;22.1350;156.7841;200;
3;0.6377;209.9600;1342.3497;200;
4;0.8503;33.5500;445.3862;200;
5;1.0628;10.2850;152.9077;200;
6;1.2754;6.2188;107.9143;128;
7;1.4879;8.1512;102.1999;86;
8;1.7005;7.0538;96.8157;93;
9;1.9131;7.9320;100.7132;103;
10;2.1256;7.2708;89.1813;96;
11;2.3382;8.4588;93.0886;85;
12;2.5508;6.5135;94.2581;74;
13;2.7633;11.2500;99.8826;36;
14;2.9759;2.0000;60.7510;38;
15;3.1884;2.0000;19.0837;34;
16;3.4010;2.0000;3.1009;38;
17;3.6136;2.0000;28.2541;20;
18;3.8261;2.0000;4.4002;13;
19;4.0387;2.0000;4.6511;19;
20;4.2513;2.0000;3.3628;23;
21;4.4638;2.0000;3.6775;21;
22;4.6764;2.0000;28.2889;34;
23;4.8889;2.0000;26.0425;19;
24;5.1015;2.0667;2.7138;30;
25;5.3141;2.2727;36.6935;22;
26;5.5266;2.7083;10.9585;24;
27;5.7392;2.9667;2.8961;30;
28;5.9518;2.9583;23.7849;24;
29;6.1643;3.0000;3.4087;26;
30;6.3769;3.0000;17.7990;36;
31;6.5894;3.0000;7.4978;13;
32;6.8020;3.0455;5.9657;22;
33;7.0146;3.5926;16.4199;27;
34;7.2271;3.8800;9.2075;25;
35;7.4397;3.9643;3.7198;28;
36;7.6523;4.0000;4.0042;29;
37;7.8648;4.0435;23.0492;23;
38;8.0774;4.7586;3.8018;29;
39;8.2899;4.9091;3.6978;22;
40;8.5025;5.0000;3.7895;29;
41;8.7151;5.0000;4.1433;26;
42;8.9276;5.0000;3.3764;24;
43;9.1402;5.0500;4.5428;20;
44;9.3528;5.2500;4.2108;28;
45;9.5653;5.8800;4.9429;25;
46;9.7779;5.9565;6.2167;23;
47;9.9905;5.9000;4.9387;30;
48;10.2030;6.2778;7.4352;18;
49;10.4156;6.7727;6.2142;22;
50;10.6281;6.9643;4.2460;28;
51;10.8407;7.7692;11.2224;26;
52;11.0533;12.2000;20.0175;20;
53;11.2658;8.7273;10.5227;33;
54;11.4784;9.2069;6.3248;29;
55;11.6910;9.9583;7.3221;24;
56;11.9035;10.4000;7.3501;20;
57;12.1161;10.9286;9.0764;28;
58;12.3286;10.9630;11.9963;27;
59;12.5412;11.4091;11.4997;22;
60;12.7538;11.8800;13.4594;25;
61;12.9663;11.9310;21.2316;29;
62;13.1789;11.9500;12.7365;20;
63;13.3915;12.0000;24.1700;21;
64;13.6040;12.0000;14.3498;26;
65;13.8166;12.0000;13.8095;29;
66;14.0291;12.0000;10.2877;24;
67;14.2417;12.0000;5.0059;26;
68;14.4543;12.0323;5.8129;31;
69;14.6668;12.3793;5.0779;29;
70;14.8794;12.8636;8.3300;22;
71;15.0920;12.9524;9.3631;21;
72;15.3045;13.6000;12.2911;20;
73;15.5171;14.2286;11.1496;35;
74;15.7296;14.9048;9.7158;21;
75;15.9422;15.6207;7.6180;29;
76;16.1548;16.8889;12.6256;27;
77;16.3673;17.5455;6.5398;33;
78;16.5799;18.2500;6.1667;28;
79;16.7925;18.9091;5.8710;22;
80;17.0050;18.9032;6.1622;31;
81;17.2176;19.4400;6.0595;25;
82;17.4302;19.8750;5.8134;24;
83;17.6427;19.6897;8.2059;29;
84;17.8553;19.4000;13.1190;20;
85;18.0678;19.0385;10.4263;26;
86;18.2804;19.0000;9.8264;28;
87;18.4930;19.0000;7.1418;22;
88;18.7055;19.0000;5.7787;27;
89;18.9181;19.0000;3.5182;26;
90;19.1307;19.0345;3.8017;29;
91;19.3432;19.1053;4.4694;19;
92;19.5558;19.6786;3.5543;28;
93;19.7683;20.0909;4.2028;33;
94;19.9809;20.7600;4.1113;25;
95;20.1935;21.0500;4.9334;20;
