V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;7.6000;2690.8035;5;
1;0.2126;7.0000;163.3193;36;
2;0.4251;8.1800;120.2832;200;
3;0.6377;121.1400;805.3427;200;
4;0.8503;51.8600;374.5223;200;
5;1.0628;14.1900;126.0272;200;
6;1.2754;4.9275;72.0716;193;
7;1.4879;5.1825;61.2105;137;
8;1.7005;5.6269;62.5474;134;
9;1.9131;5.9028;62.9502;144;
10;2.1256;5.2931;63.6256;116;
11;2.3382;4.2417;55.4138;120;
12;2.5508;6.5465;68.0143;86;
13;2.7633;6.9672;54.9849;61;
14;2.9759;4.7812;53.0130;32;
15;3.1884;2.5333;28.7314;15;
16;3.4010;2.7000;4.2743;20;
17;3.6136;2.5238;27.0031;21;
18;3.8261;2.5000;3.5290;20;
19;4.0387;2.4762;4.3741;21;
20;4.2513;2.7391;3.2562;23;
21;4.4638;2.6800;3.2416;25;
22;4.6764;2.7619;35.9864;21;
23;4.8889;2.8500;25.3659;20;
24;5.1015;2.8000;3.1299;20;
25;5.3141;2.7857;32.5102;28;
26;5.5266;2.8571;11.6655;21;
27;5.7392;2.8889;3.5593;18;
28;5.9518;2.8710;3.1568;31;
29;6.1643;2.9286;3.1742;28;
30;6.3769;2.9500;5.4421;20;
31;6.5894;3.0000;8.4156;10;
32;6.8020;3.0000;5.6042;24;
33;7.0146;3.0000;3.7377;30;
34;7.2271;3.0000;9.1412;25;
35;7.4397;3.0000;3.8727;23;
36;7.6523;3.0000;4.7447;19;
37;7.8648;3.0000;19.8354;31;
38;8.0774;3.0000;3.5084;31;
39;8.2899;3.0000;3.9929;17;
40;8.5025;3.0000;3.7298;28;
41;8.7151;3.0000;4.2086;21;
42;8.9276;3.0000;3.2433;23;
43;9.1402;3.0000;3.8947;26;
44;9.3528;3.0000;4.5047;22;
45;9.5653;3.0000;4.9078;24;
46;9.7779;3.0769;5.7316;26;
47;9.9905;3.1818;5.5427;22;
48;10.2030;3.7917;6.3202;24;
49;10.4156;3.8966;5.1334;29;
50;10.6281;3.9600;4.1619;25;
51;10.8407;4.3043;11.7510;23;
52;11.0533;4.8636;6.8945;22;
53;11.2658;5.0345;10.8912;29;
54;11.4784;5.4400;6.1599;25;
55;11.6910;6.0000;7.7220;19;
56;11.9035;6.4643;5.7070;28;
57;12.1161;6.9231;8.9589;26;
58;12.3286;7.0800;12.1644;25;
59;12.5412;7.8750;10.8543;24;
60;12.7538;7.9474;15.2646;19;
61;12.9663;7.9655;21.2191;29;
62;13.1789;7.8519;10.9346;27;
63;13.3915;8.0000;13.9987;16;
64;13.6040;8.0000;14.3473;26;
65;13.8166;8.0000;13.7939;29;
66;14.0291;8.0000;10.7061;22;
67;14.2417;8.0000;4.7691;28;
68;14.4543;8.0000;6.8285;22;
