V(canais);V(calib);i(canais);E(i);n(i)
158;25.2800;63.4194;1.2479;31;
159;25.4400;62.9444;1.4634;18;
160;25.6000;62.0385;0.4488;26;
161;25.7600;62.0000;0.2626;39;
162;25.9200;62.2188;0.5997;32;
163;26.0800;63.0714;0.8173;28;
164;26.2400;64.3000;0.8530;30;
165;26.4000;65.7407;1.4198;27;
166;26.5600;67.3929;1.5265;28;
167;26.7200;69.0400;2.0705;25;
168;26.8800;71.5333;1.8851;30;
169;27.0400;73.4839;1.8065;31;
170;27.2000;76.2143;2.1447;28;
171;27.3600;78.0333;1.8787;30;
172;27.5200;79.7143;1.8995;35;
173;27.6800;81.1562;1.5224;32;
174;27.8400;82.0000;0.7404;30;
175;28.0000;81.9565;0.7550;23;
176;28.1600;81.9697;0.2965;33;
177;28.3200;82.0000;1.0124;35;
178;28.4800;81.2174;0.6590;23;
179;28.6400;80.8966;0.5904;29;
180;28.8000;80.1071;0.8476;28;
181;28.9600;79.2333;0.7699;30;
182;29.1200;78.1852;0.6869;27;
183;29.2800;77.6923;0.7404;26;
184;29.4400;77.1892;0.6408;37;
185;29.6000;77.0606;0.4465;33;
186;29.7600;77.1290;0.4161;31;
187;29.9200;77.8438;0.5578;32;
188;30.0800;78.9375;0.9037;32;
189;30.2400;80.2581;1.1962;31;
190;30.4000;82.0323;1.3087;31;
191;30.5600;83.4783;1.1907;23;
192;30.7200;85.4074;1.7796;27;
193;30.8800;87.6000;1.9387;35;
194;31.0400;89.5000;1.8712;30;
195;31.2000;91.3548;1.3314;31;
196;31.3600;92.9706;1.1804;34;
197;31.5200;94.3667;0.8902;30;
198;31.6800;95.4615;1.2651;26;
199;31.8400;95.9062;1.3794;32;
200;32.0000;96.0000;0.4160;28;
201;32.1600;96.0000;0.7537;30;
202;32.3200;95.9677;0.3757;31;
203;32.4800;95.2333;0.6134;30;
204;32.6400;94.6364;0.6921;33;
205;32.8000;93.9722;0.5144;36;
206;32.9600;93.0741;0.8326;27;
207;33.1200;92.9565;0.7115;23;
208;33.2800;92.4706;0.5766;34;
209;33.4400;92.1250;0.7565;32;
210;33.6000;92.3429;0.4747;35;
211;33.7600;92.9333;0.4396;30;
212;33.9200;93.6452;0.8054;31;
213;34.0800;94.9375;1.2780;32;
214;34.2400;96.5000;1.3784;30;
215;34.4000;97.5200;1.2139;25;
216;34.5600;99.4545;0.8087;33;
217;34.7200;101.1667;0.8043;24;
218;34.8800;102.6897;0.9454;29;
219;35.0400;104.4211;1.0107;38;
220;35.2000;105.9667;1.1538;30;
221;35.3600;107.1936;1.0846;31;
222;35.5200;108.4324;0.7583;37;
223;35.6800;109.0000;0.5345;21;
224;35.8400;109.2903;0.9161;31;
225;36.0000;109.9643;0.4174;28;
226;36.1600;110.0000;0.1766;31;
227;36.3200;110.0000;0.4873;36;
228;36.4800;109.9091;0.5810;33;
229;36.6400;109.1714;0.5300;35;
230;36.8000;109.0000;0.3324;17;
231;36.9600;109.0000;1.3776;3;
232;37.1200;0.0000;0.0000;0;
233;37.2800;0.0000;0.0000;0;
234;37.4400;0.0000;0.0000;0;
235;37.6000;0.0000;0.0000;0;
236;37.7600;0.0000;0.0000;0;
237;37.9200;0.0000;0.0000;0;
238;38.0800;0.0000;0.0000;0;
239;38.2400;0.0000;0.0000;0;
240;38.4000;0.0000;0.0000;0;
241;38.5600;0.0000;0.0000;0;
242;38.7200;0.0000;0.0000;0;
243;38.8800;0.0000;0.0000;0;
244;39.0400;0.0000;0.0000;0;
245;39.2000;0.0000;0.0000;0;
246;39.3600;0.0000;0.0000;0;
247;39.5200;0.0000;0.0000;0;
248;39.6800;0.0000;0.0000;0;
249;39.8400;0.0000;0.0000;0;
250;40.0000;0.0000;0.0000;0;
251;40.1600;0.0000;0.0000;0;
252;40.3200;0.0000;0.0000;0;
253;40.4800;0.0000;0.0000;0;
254;40.6400;0.0000;0.0000;0;
Canal 3 = 0.4800V
Fundo de escala(A)= 1.00 nA
Fator de calib=0.1600
