V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;2.0000;2456.3901;6;
1;0.2126;3.8644;137.0492;59;
2;0.4251;17.3100;155.1688;200;
3;0.6377;185.9550;1326.1488;200;
4;0.8503;35.8300;444.3067;200;
5;1.0628;14.1500;151.6765;200;
6;1.2754;5.4800;108.3841;125;
7;1.4879;10.9700;93.2916;100;
8;1.7005;7.9917;83.8721;120;
9;1.9131;6.7836;87.0894;134;
10;2.1256;7.7679;81.1807;112;
11;2.3382;5.9364;80.5384;110;
12;2.5508;10.0986;95.2079;71;
13;2.7633;5.1750;92.1420;40;
14;2.9759;2.0667;68.3729;30;
15;3.1884;2.0000;23.7242;22;
16;3.4010;2.0000;3.9858;23;
17;3.6136;3.0000;24.7805;26;
18;3.8261;2.0000;2.8046;32;
19;4.0387;2.0000;4.0547;25;
20;4.2513;2.0000;3.1628;26;
21;4.4638;2.1905;3.6775;21;
22;4.6764;2.2917;33.6705;24;
23;4.8889;2.3000;25.3831;20;
24;5.1015;2.9167;3.0212;24;
25;5.3141;2.9583;35.1288;24;
26;5.5266;3.0000;10.3229;27;
27;5.7392;2.9130;3.3012;23;
28;5.9518;2.9655;21.6368;29;
29;6.1643;3.0000;3.1218;31;
30;6.3769;3.0000;21.3588;25;
31;6.5894;3.1429;5.8993;21;
32;6.8020;3.6190;6.1024;21;
33;7.0146;6.9286;16.1168;28;
34;7.2271;4.0000;8.6949;28;
35;7.4397;4.0000;3.8554;26;
36;7.6523;4.2273;4.5973;22;
37;7.8648;4.7037;21.2727;27;
38;8.0774;4.8621;3.7777;29;
39;8.2899;5.0000;4.1939;17;
40;8.5025;5.0000;4.0021;26;
41;8.7151;5.0000;3.8572;30;
42;8.9276;4.9545;3.5265;22;
43;9.1402;5.3043;4.2313;23;
44;9.3528;5.6190;4.8365;21;
45;9.5653;5.9706;4.2293;34;
46;9.7779;6.0000;5.5334;29;
47;9.9905;5.9375;6.7501;16;
48;10.2030;6.1481;6.0598;27;
49;10.4156;6.9091;6.2001;22;
50;10.6281;6.9655;4.1599;29;
51;10.8407;7.5714;10.8032;28;
52;11.0533;8.0000;7.0303;23;
53;11.2658;8.6333;11.0144;30;
54;11.4784;9.0000;5.9118;33;
55;11.6910;9.6250;7.3137;24;
56;11.9035;9.9565;6.8387;23;
57;12.1161;10.5000;10.2354;22;
58;12.3286;10.9091;10.8497;33;
59;12.5412;11.0000;11.2367;23;
60;12.7538;11.0000;13.4555;25;
61;12.9663;11.0000;24.3747;22;
62;13.1789;11.0000;11.6251;24;
63;13.3915;11.0000;22.1522;25;
64;13.6040;11.0000;14.3498;26;
65;13.8166;11.0000;14.3118;27;
66;14.0291;11.0323;9.0520;31;
67;14.2417;11.0690;4.7399;29;
68;14.4543;11.6538;6.3443;26;
69;14.6668;12.0000;5.5488;24;
70;14.8794;12.0345;7.2492;29;
71;15.0920;12.2941;10.4038;17;
72;15.3045;12.9259;10.5700;27;
73;15.5171;13.2917;13.4456;24;
74;15.7296;13.9667;8.1087;30;
75;15.9422;15.0000;8.3221;24;
76;16.1548;15.7917;13.3842;24;
77;16.3673;16.8182;7.9636;22;
78;16.5799;17.4194;5.8075;31;
79;16.7925;17.7143;5.9861;21;
80;17.0050;18.0000;5.9555;33;
81;17.2176;18.6190;6.5892;21;
82;17.4302;18.7727;6.0621;22;
83;17.6427;18.5238;9.6277;21;
84;17.8553;18.1111;11.2831;27;
85;18.0678;18.0690;9.8706;29;
86;18.2804;18.0323;9.3389;31;
87;18.4930;18.0000;6.9848;23;
88;18.7055;18.0000;6.4017;22;
89;18.9181;18.0000;3.1713;32;
90;19.1307;18.0000;3.6728;31;
91;19.3432;18.0417;3.9673;24;
92;19.5558;18.0909;3.9750;22;
93;19.7683;18.9286;4.5520;28;
94;19.9809;19.3182;4.3485;22;
95;20.1935;19.8500;4.9083;20;
96;20.4060;20.8000;6.2970;25;
97;20.6186;21.6000;6.9157;30;
98;20.8312;22.4138;9.9751;29;
99;21.0437;24.0435;11.7210;23;
100;21.2563;25.0370;12.8853;27;
101;21.4688;25.8333;12.6496;30;
102;21.6814;26.5455;12.9800;22;
103;21.8940;26.9565;8.5532;23;
104;22.1065;26.9444;5.9858;36;
105;22.3191;27.0000;7.0420;30;
106;22.5317;26.8750;6.9460;24;
107;22.7442;26.1364;7.0692;22;
108;22.9568;26.0400;4.9011;25;
109;23.1693;26.0385;4.7328;26;
110;23.3819;25.6296;4.2647;27;
111;23.5945;25.0385;4.1246;26;
112;23.8070;25.0952;3.7333;21;
113;24.0196;25.0000;2.2150;29;
114;24.2322;25.3600;7.6154;25;
115;24.4447;25.9310;5.9627;29;
116;24.6573;26.1429;6.3319;28;
117;24.8699;27.0000;8.0319;30;
118;25.0824;28.1304;10.4079;23;
119;25.2950;29.3500;10.4551;20;
120;25.5075;30.3704;10.6526;27;
121;25.7201;31.6923;10.6340;26;
122;25.9327;33.2857;9.4953;28;
123;26.1452;34.3103;8.2960;29;
124;26.3578;35.6061;6.2462;33;
125;26.5704;36.4000;6.0907;20;
126;26.7829;36.9655;4.2105;29;
127;26.9955;36.9000;4.6046;20;
128;27.2080;36.9677;3.4037;31;
129;27.4206;36.3200;4.7709;25;
130;27.6332;36.0588;4.1817;34;
131;27.8457;35.5417;5.0709;24;
132;28.0583;35.0455;5.1161;22;
133;28.2709;35.0385;4.8519;26;
134;28.4834;34.3333;5.5101;27;
135;28.6960;34.0870;7.1721;23;
136;28.9085;34.0370;8.2764;27;
137;29.1211;34.6667;8.6303;30;
138;29.3337;35.0385;9.0029;26;
139;29.5462;35.6071;7.1914;28;
140;29.7588;36.5714;6.8165;21;
141;29.9714;37.5000;8.3947;26;
142;30.1839;39.0741;8.4375;27;
143;30.3965;40.3750;10.1815;24;
144;30.6090;42.3226;10.4245;31;
145;30.8216;43.8333;13.0471;18;
146;31.0342;44.8438;10.4664;32;
147;31.2467;46.2143;8.2373;28;
148;31.4593;47.1034;5.5760;29;
149;31.6719;47.8846;3.6580;26;
150;31.8844;47.9032;4.6965;31;
151;32.0970;47.9643;2.5016;28;
152;32.3095;47.6667;3.2829;24;
153;32.5221;47.0000;4.2956;22;
154;32.7347;46.3448;3.8483;29;
155;32.9472;45.8846;4.2449;26;
156;33.1598;45.1481;4.6761;27;
157;33.3724;45.0000;3.9386;28;
158;33.5849;44.6957;4.5994;23;
159;33.7975;44.2609;3.4465;23;
