V(canais);V(calib);i(canais);E(i);n(i)
0;0.0000;4.5000;4254.5273;2;
1;0.2126;7.1190;150.7704;42;
2;0.4251;7.7409;121.7388;193;
3;0.6377;119.3400;781.1900;200;
4;0.8503;37.3900;366.5186;200;
5;1.0628;9.9050;124.3389;200;
6;1.2754;8.4320;88.2137;125;
7;1.4879;5.8353;76.6146;85;
8;1.7005;5.9506;78.7858;81;
9;1.9131;6.0278;71.1797;108;
10;2.1256;7.9592;68.0015;98;
11;2.3382;7.4500;66.5054;80;
12;2.5508;5.8553;71.0273;76;
13;2.7633;3.4750;65.2457;40;
14;2.9759;2.3750;45.9001;24;
15;3.1884;2.3000;24.8784;20;
16;3.4010;2.4400;3.8011;25;
17;3.6136;2.4737;28.3839;19;
18;3.8261;2.7222;3.6824;18;
19;4.0387;2.6667;3.6357;30;
20;4.2513;2.6818;3.2990;22;
21;4.4638;2.8182;3.4196;22;
22;4.6764;2.9600;32.9798;25;
23;4.8889;2.9091;24.1830;22;
24;5.1015;3.0000;2.5779;29;
25;5.3141;3.0000;30.8946;31;
26;5.5266;5.0385;10.4792;26;
27;5.7392;3.0000;3.3635;20;
28;5.9518;3.0000;3.0896;32;
29;6.1643;2.9697;2.9142;33;
30;6.3769;3.0000;4.8637;25;
31;6.5894;3.0000;6.2726;18;
32;6.8020;3.0000;5.0126;30;
33;7.0146;3.0000;3.9399;27;
34;7.2271;3.0000;8.0797;32;
35;7.4397;3.0000;4.5046;17;
36;7.6523;3.0000;3.8405;29;
37;7.8648;3.0000;20.1633;30;
38;8.0774;3.0000;3.8309;26;
39;8.2899;3.0000;3.6813;20;
40;8.5025;3.0000;3.7982;27;
41;8.7151;3.0000;3.3075;34;
42;8.9276;3.0000;3.1750;24;
43;9.1402;3.0000;4.1410;23;
44;9.3528;3.0000;3.6780;33;
45;9.5653;3.0000;4.7153;26;
46;9.7779;3.0000;5.3301;30;
47;9.9905;3.0000;5.5218;22;
48;10.2030;3.4211;7.0676;19;
49;10.4156;3.8065;4.9501;31;
50;10.6281;3.9630;4.0004;27;
51;10.8407;4.0000;10.6329;28;
52;11.0533;4.4231;6.3214;26;
53;11.2658;4.8846;11.4858;26;
54;11.4784;5.0000;5.2454;34;
55;11.6910;5.8500;7.5181;20;
56;11.9035;5.8824;5.1516;34;
57;12.1161;6.1818;9.7260;22;
58;12.3286;6.9062;10.7276;32;
59;12.5412;6.9565;11.0751;23;
60;12.7538;6.9583;13.5803;24;
61;12.9663;7.0000;19.5961;34;
62;13.1789;7.0000;11.8190;23;
63;13.3915;7.0000;12.5208;20;
64;13.6040;7.0000;14.6315;25;
65;13.8166;7.0000;14.0381;28;
66;14.0291;7.0000;10.2503;24;
67;14.2417;7.1333;4.6074;30;
68;14.4543;7.6842;7.3478;19;
69;14.6668;7.9032;4.7599;31;
70;14.8794;8.0000;8.8108;19;
71;15.0920;7.9688;7.4446;32;
72;15.3045;8.5909;11.5159;22;
73;15.5171;8.9333;11.6801;30;
74;15.7296;9.6364;8.8117;22;
75;15.9422;10.0370;7.1974;27;
76;16.1548;10.8571;8.0573;28;
77;16.3673;11.6786;5.6166;28;
