4.1400	0.0082	0.002	0.0001
3.9300	0.0087	0.002	0.0001
3.6900	0.0092	0.002	0.0001
3.4000	0.0097	0.002	0.0001
3.0600	0.0101	0.002	0.0001
2.6600	0.0106	0.002	0.0001
2.1900	0.0108	0.002	0.0001
1.6800	0.0110	0.002	0.0001
1.5700	0.0110	0.002	0.0001
1.4600	0.0110	0.002	0.0001
1.3600	0.0110	0.002	0.0001
1.2500	0.0111	0.002	0.0001
1.1500	0.0111	0.002	0.0001
1.0400	0.0111	0.002	0.0001
0.9300	0.0112	0.002	0.0001
0.8200	0.0112	0.002	0.0001
0.7260	0.0112	0.002	0.0001
0.6150	0.0113	0.002	0.0001
0.3370	0.0113	0.003	0.0001
0.1670	0.0114	0.003	0.0001
0.0530	0.0114	0.003	0.0001
